suction3
2 0 0 
49 
0.084500 7.931414 
0.094090 7.986354 
0.119264 8.036120 
0.157839 8.076398 
0.170996 8.086593 
0.435660 8.291678 
0.701845 8.498739 
0.969258 8.708114 
1.240426 8.914288 
1.514489 9.118320 
1.793633 9.314955 
2.076597 9.505987 
2.365188 9.686361 
2.657863 9.858636 
2.956007 10.017933 
3.257926 10.167596 
3.564596 10.302912 
3.874324 10.428004 
4.187740 10.538296 
4.503308 10.638629 
4.821404 10.724501 
5.140768 10.801354 
5.460454 10.877514 
5.781619 10.940622 
6.103896 10.987073 
6.426365 11.025112 
6.748865 11.053662 
7.071187 11.076082 
7.393287 11.091801 
7.715163 11.103452 
8.036864 11.110886 
8.358503 11.115929 
8.680197 11.118773 
9.002111 11.120361 
9.324428 11.121151 
9.647341 11.121123 
9.971129 11.120917 
10.296045 11.119467 
10.622554 11.117501 
10.951043 11.112809 
11.282348 11.106100 
11.617097 11.093903 
11.956753 11.076747 
11.998101 11.074659 
12.048102 11.064036 
12.092281 11.038322 
12.126215 11.000094 
12.146507 10.953176 
12.151124 10.902268 
